./data/plan/data_7133518/plan_7133518_0118140055.csv,pasta,"2021/01/18 14:00",散歩,散歩,0,139.5419455,35.65739865,12
./data/plan/data_1202131/plan_1202131_0120203506.csv,kacho,"2021/01/20 20:35",花火が見たい,"同じ花火は来年見られないですよ。
一生に一度の花火を綺麗にみるプラン",5,139.53368545,35.64205801,13
./data/plan/data_1202131/plan_1202131_0120203506.csv,kacho,"2021/01/20 20:35",花火が見たい,"同じ花火は来年見られないですよ。
一生に一度の花火を綺麗にみるプラン",6,139.53368545,35.64205801,13
